ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
A787D6C4-7544-4E3C-B634-FE94CD18BDEC,AI AF Zoom Nikkor 35-70mm F2.8D,Nikon,Nikon F,35,70,2.8,22,600,
B434E952-A398-46DD-A1EA-7804084FBE7D,AI Zoom Nikkor 35-70mm F3.3-4.5S,Nikon,Nikon F,35,70,3.3,22,350,
575343F2-3C36-4227-94C1-B86F7D7E4DD3,AI AF Zoom Nikkor 35-105mm F3.5-4.5D (IF),Nikon,Nikon F,35,105,3.5,22,850,
8FD6A0B1-704D-476C-9DE7-E93EF41B568D,AI Zoom Nikkor 35-200mm F3.5-4.5S,Nikon,Nikon F,35,200,3.5,22,300,
BC6ADB02-1BFB-4BAE-920D-9D4C2EABF515,AF-S DX Micro Nikkor 40mm f/2.8G,Nikon,Nikon F,40,40,2.8,22,163,
FDCE42F6-4B26-4347-9F98-575B6979FC43,AI Nikkor 45mm F2.8P,Nikon,Nikon F,45,45,2.8,22,450,
ED52D008-079B-4EF2-99C9-AF96C3AC71CB,AF-S Nikkor 50mm f/1.4G,Nikon,Nikon F,50,50,1.4,16,450,
2C74879A-559D-4A82-A093-0AE2557779EE,AF-S Nikkor 50mm f/1.8G,Nikon,Nikon F,50,50,1.8,16,450,
C40ABA1A-638A-4E0E-9C56-CDCD902DA4AD,Ai AF Nikkor 50mm f/1.4D,Nikon,Nikon F,50,50,1.4,16,450,
B83E07C0-F5A7-4B12-9393-2B42FA5E0A6C,Ai AF Nikkor 50mm f/1.8D,Nikon,Nikon F,50,50,1.8,22,450,
