ID,Name,Brand,Mount,Media Width,Media Height,Media Size Name,Name.Japan,Name.US,Keywords
e23f2be9-e8d9-4232-81fd-fe9e064d9cf0,K-01,Pentax,Pentax K,23.7,15.7,APS-C,,,
bc3dd0ac-a00a-4155-983b-5474bb97eb02,K-1,Pentax,Pentax K,35.9,24,35mm,,,
fd96e4b5-4763-472e-bf4b-c055cf53a3d6,K-1 Mark II,Pentax,Pentax K,35.9,24,35mm,,,
7097473a-a809-4716-ab85-3304856bc79b,K-3,Pentax,Pentax K,23.5,15.6,APS-C,,,
03e866fa-077a-4671-b936-0b9af7410747,K-3 II,Pentax,Pentax K,23.5,15.6,APS-C,,,
b4826d12-00eb-4de6-ac9d-8221898705ca,K-30,Pentax,Pentax K,23.7,15.7,APS-C,,,
cbae0235-8106-443d-aec4-c8bfeed09791,K-5,Pentax,Pentax K,23.7,15.7,APS-C,,,
6f174e24-eb2a-4ce3-b514-d21db3ae40cf,K-5 II,Pentax,Pentax K,23.7,15.7,APS-C,,,
acd7b95b-ab18-44e2-a8e3-0af7b08383b7,K-5 II s,Pentax,Pentax K,23.7,15.7,APS-C,,,
878c131d-9854-4c2a-a027-e5c8b989a86d,K-50,Pentax,Pentax K,23.7,15.7,APS-C,,,
eb90144e-8477-4195-9f37-d86279974db2,K-7,Pentax,Pentax K,23.4,15.6,APS-C,,,
b365f1aa-e4c8-4f0d-a53c-e62d449e2a27,K-70,Pentax,Pentax K,23.5,15.6,APS-C,,,
091be614-ca27-414e-a93d-5db5ebf8e4be,K-m,Pentax,Pentax K,23.5,15.7,APS-C,,,
fc033597-ed1a-4d6b-9ef2-09245f604d27,K-r,Pentax,Pentax K,23.6,15.8,APS-C,,,
cba5968c-86a9-4605-969c-918db9f0daac,K-S1,Pentax,Pentax K,23.5,15.6,APS-C,,,
1e91bf28-9d3d-4cd2-96bf-8fe8d2acb069,K-S2,Pentax,Pentax K,23.5,15.6,APS-C,,,
501215f5-2a94-4e90-a5ba-b328fcd83636,K-x,Pentax,Pentax K,23.6,15.8,APS-C,,,
9f315790-4d96-4eab-917f-cab002ed2c59,K100D,Pentax,Pentax K,23.5,15.7,APS-C,,,
cd796365-82d4-436a-b3d5-04cd489359f7,K100D Super,Pentax,Pentax K,23.5,15.7,APS-C,,,
c5ac74b0-4bbf-4af6-90da-a8e6df5554da,K10D,Pentax,Pentax K,23.5,15.7,APS-C,,,
ddccc681-f274-4c6a-ba27-0feec8d03c89,K200D,Pentax,Pentax K,23.5,15.7,APS-C,,,
c14b58f0-f1d1-471d-8e5e-8b1e9cf43fc8,K20D,Pentax,Pentax K,23.4,15.6,APS-C,,,
2462d46d-5c1a-4ab2-af7e-ea17201b48b7,K500,Pentax,Pentax K,23.7,15.7,APS-C,,,
cc45c96a-2843-4bfd-ac74-326b4c09450f,KP,Pentax,Pentax K,23.5,15.6,APS-C,,,
3360ca7e-4a43-45b4-89d3-d8500b180ad0,sd Quattro,Sigma,Sigma SA,23.4,15.5,APS-C,,,
a119584e-ad47-4ab5-b05b-e97b5b5cc2ac,sd Quattro H,Sigma,Sigma SA,26.6,17.9,APS-H,,,
c4003067-b4a9-4fd2-8fda-5eefa7ef0d39,SD1 Merill,Sigma,Sigma SA,23.5,15.7,APS-C,,,
578c125a-9417-4e67-befd-97b842443e66,DSLR-A100,Sony,Sony A,23.6,15.8,APS-C,,,
c72a9d26-396b-4133-b8a0-c3a991d5973c,DSLR-A200,Sony,Sony A,23.6,15.8,APS-C,,,
6b707899-e929-4c97-8930-5ebb9e1eeb20,DSLR-A230,Sony,Sony A,23.6,15.8,APS-C,,,
6c479f77-29aa-4287-b2cc-70189e6cb021,DSLR-A300,Sony,Sony A,23.6,15.8,APS-C,,,
ff06fc90-3dd6-4ad2-aab6-43d1952f8e95,DSLR-A330,Sony,Sony A,23.6,15.8,APS-C,,,
12746225-6230-4ffa-8189-43e235f8ac0e,DSLR-A350,Sony,Sony A,23.5,15.7,APS-C,,,
